title,date,run_time,genre,rating,introduction,director,stars,num_votes
Kings of L.A.,2023-06-13,120,"Action, Comedy, Crime",8.9,A young man reaches a critical point in his life as he struggles to navigate the changing gentrification of his neighborhood.,Van Elder,"Paula Jai Parker, Michael Paré, Alimi Ballard, Stevie J.",23
Jurassic Shark 3: Seavenge,2023-06-13,74,Horror,4.4,"A reporter, cameraman, and some petty thieves are stranded in a boat out on the ocean. The only thing that stands between them and their lives is a 50-foot prehistoric megalodon shark. They must all pull together to survive.",Mark Polonia,"Jada Sanchez, Tim Hatch, Jamie Morgan, Yolie Canales",21
Murder Syndicate,2023-06-13,99,Thriller,7.7,"When the matriarch of a family of assassins falls ill, her three children and younger boyfriend fight among themselves to take over her empire.",Michael Matteo Rossi,"Vernon Wells, Jessica Morris, Cathy Baron, Steven Martini",195
Guddu Gangster,2023-06-13,,Drama,8.6,Guddu is a teenager and Gangadhar is a middle aged gangster. They have nothing in common but due to some magic realism their lives got entangled in such a way that it created pandemonium after pandemonium.,Ashok Pati,"Choudhury Jayaprakash Das, Rakhi Das, Sambhunath Hota, Krishna Kar",92
Love in London,2023-06-13,,"Action, Romance, Thriller",7.7,,Tapas Sargharia,"Bogumila Bubiak, Sammy Jonas Heaney, Jamie Lambe, Anubhav Mohanty",332
The Signal,2023-06-13,,Drama,,"A country girl comes to the city in search of her father, but secrets and mysteries will force her to re-evaluate when a family needs to stay together and when it needs to let go.",Lee Phongsavanh,"Hannah Rosenbloom, Bounpaseuth Insisiengmay, Vilouna Phetmany, Xaybandith Inthavong",
Saleem,2023-06-13,,"Animation, Adventure, Family",,,Cynthia Madanat Sharaiha,"Dawood Afishat, Dolly Dib, Fatima Ghanem, Abd Alrahman Harhashi",
"Tony, Shelly and the Magic Light",2023-06-13,,"Animation, Family",,"Tony is wasting away at home. His controlling parents want to protect him mostly because, once he takes off his mask and gloves, he glows. But his new friend, Shelly, doesn't seem to mind it at all, as their house is shrouded in darkness.",Filip Posivac,,
Soul Doctor,2023-06-13,125,,8.2,"Journey of a Rockstar Rabbi is a Broadway musical that details the life of Rabbi Shlomo Carlebach, with music and lyrics by Shlomo Carlebach and David Schechter, and book and direction by Daniel Wise.",,"Richard Cerato, Emily Padgett, Nya Trysha, Toni Elizabeth White",18
Cannibal Comedian,2023-06-13,,"Comedy, Horror",,"A psychopathic cannibal, fed up with his lack of ambition, tries his hand at stand-up comedy in an attempt to satisfy his appetite for normalcy.",Sean Haitz,"Edwin Neal, Dana Kippel, Allen Danziger, Robert Dunne",
Crescent Gang,2023-06-13,82,Family,9.4,"When five kids learn they are leaving the only home they've known the new kid forms a hopeless plan. With their friendship hanging in the balance, a group of kids embark on a highs-takes ...","Onyx Keesha, Gino Raphael Payne","Shaquita Smith, Jael Roberson, Mariah Tavares, Jarry Lee",21
Cause of Death: Unknown,2023-06-13,104,"Drama, Mystery",7.7,"Before dawn, seven passengers are making their way from Shahdad to Kerman on a side road. When one of the passengers is discovered dead, they haven't traveled very far. Instead of finding ...",Ali Zarnegar,"Banipal Shoomoon, Alireza Sani Far, Neda Jebraeili, Ali Mohammad Radmanesh",7
Manhunt,2023-06-13,71,"Action, Thriller",3.2,A martial artist/ survivalist must play a game of cat-and-mouse with a maniacal sadistic Man by the name of Santos and survive against five killers in order to save his life as well as his girlfriends.,Franklin Correa,"Dan Gregory, Rouge Rose, David J. Paul, HB Gibson",67
Komada Jôryûsho e Yôkoso,2023-06-13,91,"Animation, Drama",,"Rui Komada, the young head of her ailing family whisky distillery. She took over the distillery after the death of her father. Facing financial difficulty, a divided family, and the ...",Masayuki Yoshihara,"Saori Hayami, Yoshimasa Hosoya, Kenshô Ono, Maaya Uchida",
Nina,2023-06-13,110,Drama,,"Nina is barely 40, she is attractive and successful: a stable marriage, a trusting relationship with her husband, a young son, a favorite job. The idyll of pleasant stability is disrupted ...",Oksana Bychkova,"Andro Chichinadze, Kirill Käro, Yuliya Peresild, Aleksander Petrov",
Chinas,2023-06-13,,Drama,,,Arantxa Echevarría,"Pablo Molinero, Ella Qiu, Leonor Watling, Shiman Yang",
Seres de Argila,2023-06-13,,Drama,,,Renato Winckiewicz,"Sophia Bochenek, Pedro Copini, Amanda Fayette, Tales Fayette",
Joseph's Son,2023-06-13,90,Drama,,"David, a passionate footballer, has not come home. His mother persuades Joseph, his father, to go and look for him. After no luck with David's friends, Joseph goes to the police. The body ...",Haobam Paban Kumar,,
Sunday,2023-06-13,,Drama,,,Shokir Kholikov,,
A Long Day,2023-06-13,,Drama,,,Hao Tang,"Xueqing Cai, Yunong Chen, Zhongwei Jiang, Ruoshan Wang",
Atu Nuvve Itu Nuvve,2023-06-13,123,Action,,Nowadays Doctors give treatment for patient to make money but Rahul treat's Patient without expecting money. one girl named Nidhi was impressed with Rahul's attitude and both fell in love.,Kumar Koramutla,"Raja Abel, Khaswi, Nagineedu, V.K. Naresh",
Người Hùng Tia Chớp,2023-06-14,144,"Action, Adventure, Fantasy",7.1,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",Andy Muschietti,"Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon",96191
Nimona,2023-06-14,101,"Animation, Action, Adventure",7.6,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Nick Bruno, Troy Quane","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy",17131
They Cloned Tyrone,2023-06-14,122,"Action, Comedy, Mystery",6.2,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.,Juel Taylor,"Jamie Foxx, Kiefer Sutherland, John Boyega, David Alan Grier",200
The Perfect Find,2023-06-14,99,"Comedy, Drama, Romance",5.2,"After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret romance.",Numa Perrier,"Gabrielle Union, Keith Powers, Gina Torres, La La Anthony",1992
El Ruby House,2023-06-14,101,"Comedy, Drama",7,"When a private family event gets leaked on social media, Ibrahim Al Ruby decides to live in a village with his wife and children, far from people and the pressure of modern life. After his ...",Peter Mimi,"Karim Abdel Aziz, Kareem Mahmoud Abdel Aziz, Nour, Tara Emad",451
A Great Divide,2023-06-14,100,Drama,,"The Lee family leave the Bay Area for a fresh start in the rural expanses of Wyoming, only to encounter hostility and xenophobia in their new community. How they confront these issues will break them - or make them stronger.",Jean Shim,"Ken Jeong, Jae Suh Park, Emerson Min, Miya Cech",
Shashank,2023-06-14,,Drama,4.9,This movie is based upon the life and journey of a superstar who is facing downfall in his career and is fighting for survival and existence in bollywood. This also covers the situation of some strugglers who come to the film industry.,"Sanoj Mishra, Sanoj R. Mishra","Ravie Sudha Choudhary, Rajveerr Singh, Nawal Kishor Shukla, Priya Shreshtha",10
The Counterfeit Kid,2023-06-14,97,"Adventure, Comedy, Romance",,"Jack, a simple farmhand must get help from a group of wild misfits and find treasure before the outlaw he's been impersonating finds him.",Matthew Taggart,"Robert Milo Andrus, Kelsey Edwards, Jesse Faggioli, Bryce Fernelius",
La nuit du verre d'eau,2023-06-14,83,Drama,6.2,"Layla, a young mother and model wife who spends the summer in the remote Christian mountains. One day she accidentally encounter with a French man this opens Layla's eyes to her condition as a woman living in a patriarchal society.",Carlos Chahine,"Marilyn Naaman, Antoine Merheb Tarb, Nathalie Baye, Pierre Rochefort",18
"Good Autumn, Mommy",2023-06-14,,Drama,,,Shizhong Chen,"Bai-Ke, Yueting Lang, Shu Qi, Benyu Zhang",
Qash,2023-06-14,113,History,9.2,"Soviet Kazakhstan, 1930s, a time marked by Stalin's rapid collectivization of farms and the most brutal famine the modern world had ever seen. Local gravedigger, Isatay, must face a difficult choice.",Aisultan Seitov,"Isbek Abilmazhinov, Ondassyn Bessikbassov, Yerkebulan Daiyrov, Sultan Nurmuha",5
Playing Sam,2023-06-14,89,Comedy,,"After her ex-boyfriend's acting career takes off, Samantha picks up the pieces to her broken heart and (so-called) acting career to rediscover her essence as a modern Latinx actress.",Ramon Pesante,"Jenni Ruiza, Marc Reign, William DeMeritt, Alana Johnson",
Viktor mod verden,2023-06-14,,,,Viktor after the death of his mother locates his father Charlie who was an insurance man. Viktor turns out to have a great talent for insurance and Charlie tries to use Viktor to save the entire company.,Christian Arhoff,"Mikael Bertelsen, Nicolas Bro, Gitte Duholm, Thomas W. Gabrielsson",
Monsoon Lover,2023-06-14,95,Thriller,8.8,"Retreating to Cambodia after a failed relationship, American Thomas McIntrye becomes immersed in Cambodia's dangerous and pervasive sex trade. There he falls in love with a woman who helps him to regain his dignity.",Marlin Darrah,"Steve Boss, Pou Danee, Constance Frenzen, Leh-Kah",5
Los Caballeros de Santiago,2023-06-14,74,"Drama, History",,"In a country divided in an eternal internal war, an order of knights rises to build a nation.",Ana L. Martín,"Fran Nortes, Eloy Arenas, Martina Herrero, Javier Esparza",
Muyeres,2023-06-14,70,Drama,,Constantina and Irene have become the last guardians of a centuries-old oral tradition doomed to disappear. A musician tries to find them and undertakes a journey where life moves forward ...,Marta Lallana,Raül Fernandez Miró,
